Date,Rent_Squared_Meter_Price
2022-12-01,18.0
2022-11-01,17.3
2022-10-01,16.7
2022-09-01,15.7
2022-08-01,15.2
2022-07-01,14.9
2022-06-01,14.5
2022-05-01,14.2
2022-04-01,13.9
2022-03-01,13.8
2022-02-01,13.8
2022-01-01,13.5
2021-12-01,13.4
2021-11-01,13.4
2021-10-01,13.3
2021-09-01,13.2
2021-08-01,13.3
2021-07-01,13.2
2021-06-01,13.3
2021-05-01,13.3
2021-04-01,13.4
2021-03-01,13.6
2021-02-01,13.6
2021-01-01,13.7
2020-12-01,13.8
2020-11-01,13.7
2020-10-01,13.8
2020-09-01,14.0
2020-08-01,14.2
2020-07-01,14.4
2020-06-01,14.5
2020-05-01,14.8
2020-04-01,15.0
2020-03-01,15.0
2020-02-01,15.0
2020-01-01,15.0
2019-12-01,15.0
2019-11-01,15.1
2019-10-01,15.1
2019-09-01,14.9
2019-08-01,14.8
2019-07-01,15.0
2019-06-01,15.2
2019-05-01,15.4
2019-04-01,15.6
2019-03-01,15.6
2019-02-01,15.7
2019-01-01,15.8
